observable,n_shots,mean_estimate,sem,true_value,abs_error,elapsed_s
XX,50,0.900000,0.385714,1.000000,0.100000,0.002334
YY,50,-1.260000,0.446126,-1.000000,0.260000,0.002334
ZZ,50,1.080000,0.417808,1.000000,0.080000,0.002334
XX,100,0.900000,0.271360,1.000000,0.100000,0.003815
YY,100,-0.900000,0.271360,-1.000000,0.100000,0.003815
ZZ,100,0.720000,0.245394,1.000000,0.280000,0.003815
XX,200,0.990000,0.199622,1.000000,0.010000,0.020939
YY,200,-0.900000,0.191398,-1.000000,0.100000,0.020939
ZZ,200,1.170000,0.214559,1.000000,0.170000,0.020939
XX,400,0.720000,0.122235,1.000000,0.280000,0.035958
YY,400,-1.102500,0.147723,-1.000000,0.102500,0.035958
ZZ,400,1.057500,0.145088,1.000000,0.057500,0.035958
XX,800,0.855000,0.093359,1.000000,0.145000,0.045524
YY,800,-1.001250,0.100117,-1.000000,0.001250,0.045524
ZZ,800,1.080000,0.103467,1.000000,0.080000,0.045524
XX,1600,1.001250,0.070771,1.000000,0.001250,0.131688
YY,1600,-1.085625,0.073303,-1.000000,0.085625,0.131688
ZZ,1600,1.006875,0.070945,1.000000,0.006875,0.131688
XX,3200,1.046250,0.051003,1.000000,0.046250,0.174788
YY,3200,-0.970313,0.049351,-1.000000,0.029687,0.174788
ZZ,3200,1.018125,0.050402,1.000000,0.018125,0.174788
XX,6400,0.997031,0.035312,1.000000,0.002969,0.354965
YY,6400,-1.036406,0.035914,-1.000000,0.036406,0.354965
ZZ,6400,0.940781,0.034422,1.000000,0.059219,0.354965
