observable,n_shots,mean_estimate,sem,true_value,abs_error,elapsed_s
XX,50,0.900000,0.385714,1.000000,0.100000,0.002491
YY,50,-1.260000,0.446126,-1.000000,0.260000,0.002491
ZZ,50,1.080000,0.417808,1.000000,0.080000,0.002491
XX,100,0.900000,0.271360,1.000000,0.100000,0.006788
YY,100,-0.900000,0.271360,-1.000000,0.100000,0.006788
ZZ,100,0.720000,0.245394,1.000000,0.280000,0.006788
XX,200,0.990000,0.199622,1.000000,0.010000,0.007527
YY,200,-0.900000,0.191398,-1.000000,0.100000,0.007527
ZZ,200,1.170000,0.214559,1.000000,0.170000,0.007527
XX,400,0.720000,0.122235,1.000000,0.280000,0.012675
YY,400,-1.102500,0.147723,-1.000000,0.102500,0.012675
ZZ,400,1.057500,0.145088,1.000000,0.057500,0.012675
XX,800,0.855000,0.093359,1.000000,0.145000,0.026191
YY,800,-1.001250,0.100117,-1.000000,0.001250,0.026191
ZZ,800,1.080000,0.103467,1.000000,0.080000,0.026191
XX,1600,1.001250,0.070771,1.000000,0.001250,0.051130
YY,1600,-1.085625,0.073303,-1.000000,0.085625,0.051130
ZZ,1600,1.006875,0.070945,1.000000,0.006875,0.051130
XX,3200,1.046250,0.051003,1.000000,0.046250,0.102802
YY,3200,-0.970313,0.049351,-1.000000,0.029687,0.102802
ZZ,3200,1.018125,0.050402,1.000000,0.018125,0.102802
XX,6400,0.997031,0.035312,1.000000,0.002969,0.213097
YY,6400,-1.036406,0.035914,-1.000000,0.036406,0.213097
ZZ,6400,0.940781,0.034422,1.000000,0.059219,0.213097
